ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
398,137,-12,-7,0,320,10,80,20,800,400,20,12,30
386,130,-12,-7,0,320,10,80,20,800,400,20,12,30
374,123,-12,-7,0,320,10,80,20,800,400,20,12,30
362,116,-12,-7,0,320,10,80,20,800,400,20,12,30
350,109,-12,-7,0,320,10,80,20,800,400,20,12,30
338,102,-12,-7,0,320,10,80,20,800,400,20,12,30
326,95,-12,-7,0,320,10,80,20,800,400,20,12,30
314,88,-12,-7,0,320,10,80,20,800,400,20,12,30
302,81,-12,-7,0,320,10,80,20,800,400,20,12,30
290,74,-12,-7,-1,320,10,80,20,800,400,20,12,30
278,67,-12,-7,0,300,10,80,20,800,400,20,12,30
266,60,-12,-7,0,300,10,80,20,800,400,20,12,30
254,53,-12,-7,0,300,10,80,20,800,400,20,12,30
242,46,-12,-7,0,300,10,80,20,800,400,20,12,30
230,39,-12,-7,0,300,10,80,20,800,400,20,12,30
218,32,-12,-7,0,300,10,80,20,800,400,20,12,30
206,39,-12,7,0,300,10,80,20,800,400,20,12,30
194,46,-12,7,0,300,10,80,20,800,400,20,12,30
182,53,-12,7,0,300,10,80,20,800,400,20,12,30
170,60,-12,7,0,300,10,80,20,800,400,20,12,30
158,67,-12,7,0,300,10,80,20,800,400,20,12,30
146,74,-12,7,0,300,10,80,20,800,400,20,12,30
134,81,-12,7,0,300,10,80,20,800,400,20,12,30
122,88,-12,7,0,300,10,80,20,800,400,20,12,30
110,95,-12,7,0,300,10,80,20,800,400,20,12,30
98,102,-12,7,0,300,10,80,20,800,400,20,12,30
86,109,-12,7,0,300,10,80,20,800,400,20,12,30
74,116,-12,7,0,300,10,80,20,800,400,20,12,30
62,123,-12,7,0,300,10,80,20,800,400,20,12,30
50,130,-12,7,0,300,10,80,20,800,400,20,12,30
38,137,-12,7,0,300,10,80,20,800,400,20,12,30
50,144,12,7,0,300,10,80,20,800,400,20,12,30
62,151,12,7,0,300,10,80,20,800,400,20,12,30
74,158,12,7,0,300,10,80,20,800,400,20,12,30
86,165,12,7,0,300,10,80,20,800,400,20,12,30
98,172,12,7,0,300,10,80,20,800,400,20,12,30
110,179,12,7,-1,300,10,80,20,800,400,20,12,30
122,186,12,7,0,280,10,80,20,800,400,20,12,30
134,193,12,7,0,280,10,80,20,800,400,20,12,30
146,200,12,7,0,280,10,80,20,800,400,20,12,30
158,207,12,7,0,280,10,80,20,800,400,20,12,30
170,214,12,7,0,280,10,80,20,800,400,20,12,30
182,221,12,7,-1,280,10,80,20,800,400,20,12,30
194,228,12,7,0,260,10,80,20,800,400,20,12,30
206,235,12,7,0,260,10,80,20,800,400,20,12,30
218,242,12,7,0,260,10,80,20,800,400,20,12,30
230,249,12,7,0,260,10,80,20,800,400,20,12,30
242,256,12,7,0,260,10,80,20,800,400,20,12,30
254,263,12,7,0,260,10,80,20,800,400,20,12,30
266,270,12,7,0,260,10,80,20,800,400,20,12,30
278,277,12,7,0,260,10,80,20,800,400,20,12,30
290,284,12,7,0,260,10,80,20,800,400,20,12,30
302,291,12,7,1,260,10,80,20,800,400,20,12,30
314,298,12,7,0,280,10,80,20,800,400,20,12,30
326,305,12,7,0,280,10,80,20,800,400,20,12,30
338,312,12,7,0,280,10,80,20,800,400,20,12,30
350,319,12,7,0,280,10,80,20,800,400,20,12,30
362,326,12,7,0,280,10,80,20,800,400,20,12,30
374,333,12,7,0,280,10,80,20,800,400,20,12,30
386,340,12,7,0,280,10,80,20,800,400,20,12,30
398,347,12,7,0,280,10,80,20,800,400,20,12,30
410,354,12,7,0,280,10,80,20,800,400,20,12,30
422,361,12,7,-1,280,10,80,20,800,400,20,12,30
434,368,12,7,0,260,10,80,20,800,400,20,12,30
446,361,12,-7,0,260,10,80,20,800,400,20,12,30
458,354,12,-7,0,260,10,80,20,800,400,20,12,30
470,347,12,-7,-1,260,10,80,20,800,400,20,12,30
482,340,12,-7,0,240,10,80,20,800,400,20,12,30
494,333,12,-7,0,240,10,80,20,800,400,20,12,30
506,326,12,-7,0,240,10,80,20,800,400,20,12,30
518,319,12,-7,0,240,10,80,20,800,400,20,12,30
530,312,12,-7,-1,240,10,80,20,800,400,20,12,30
542,305,12,-7,0,220,10,80,20,800,400,20,12,30
554,298,12,-7,0,220,10,80,20,800,400,20,12,30
566,291,12,-7,0,220,10,80,20,800,400,20,12,30
578,284,12,-7,-1,220,10,80,20,800,400,20,12,30
590,277,12,-7,0,200,10,80,20,800,400,20,12,30
602,270,12,-7,0,200,10,80,20,800,400,20,12,30
614,263,12,-7,0,200,10,80,20,800,400,20,12,30
626,256,12,-7,-1,200,10,80,20,800,400,20,12,30
638,249,12,-7,0,180,10,80,20,800,400,20,12,30
650,242,12,-7,0,180,10,80,20,800,400,20,12,30
662,235,12,-7,0,180,10,80,20,800,400,20,12,30
674,228,12,-7,-1,180,10,80,20,800,400,20,12,30
686,221,12,-7,0,160,10,80,20,800,400,20,12,30
698,214,12,-7,0,160,10,80,20,800,400,20,12,30
710,207,12,-7,0,160,10,80,20,800,400,20,12,30
722,200,12,-7,0,160,10,80,20,800,400,20,12,30
734,193,12,-7,-1,160,10,80,20,800,400,20,12,30
746,186,12,-7,0,140,10,80,20,800,400,20,12,30
758,179,12,-7,0,140,10,80,20,800,400,20,12,30
770,172,12,-7,0,140,10,80,20,800,400,20,12,30
758,165,-12,-7,0,140,10,80,20,800,400,20,12,30
746,158,-12,-7,0,140,10,80,20,800,400,20,12,30
734,151,-12,-7,0,140,10,80,20,800,400,20,12,30
722,144,-12,-7,0,140,10,80,20,800,400,20,12,30
710,137,-12,-7,0,140,10,80,20,800,400,20,12,30
698,130,-12,-7,0,140,10,80,20,800,400,20,12,30
686,123,-12,-7,0,140,10,80,20,800,400,20,12,30
674,116,-12,-7,0,140,10,80,20,800,400,20,12,30
662,109,-12,-7,0,140,10,80,20,800,400,20,12,30
650,102,-12,-7,0,140,10,80,20,800,400,20,12,30
638,95,-12,-7,0,140,10,80,20,800,400,20,12,30
626,88,-12,-7,0,140,10,80,20,800,400,20,12,30
614,81,-12,-7,0,140,10,80,20,800,400,20,12,30
602,74,-12,-7,0,140,10,80,20,800,400,20,12,30
590,67,-12,-7,0,140,10,80,20,800,400,20,12,30
578,60,-12,-7,0,140,10,80,20,800,400,20,12,30
566,53,-12,-7,1,140,10,80,20,800,400,20,12,30
554,46,-12,-7,0,160,10,80,20,800,400,20,12,30
542,39,-12,-7,0,160,10,80,20,800,400,20,12,30
530,32,-12,-7,0,160,10,80,20,800,400,20,12,30
518,39,-12,7,1,160,10,80,20,800,400,20,12,30
506,46,-12,7,0,180,10,80,20,800,400,20,12,30
494,53,-12,7,0,180,10,80,20,800,400,20,12,30
482,60,-12,7,0,180,10,80,20,800,400,20,12,30
470,67,-12,7,0,180,10,80,20,800,400,20,12,30
458,74,-12,7,0,180,10,80,20,800,400,20,12,30
446,81,-12,7,0,180,10,80,20,800,400,20,12,30
434,88,-12,7,0,180,10,80,20,800,400,20,12,30
422,95,-12,7,0,180,10,80,20,800,400,20,12,30
410,102,-12,7,1,180,10,80,20,800,400,20,12,30
398,109,-12,7,0,200,10,80,20,800,400,20,12,30
386,116,-12,7,0,200,10,80,20,800,400,20,12,30
374,123,-12,7,0,200,10,80,20,800,400,20,12,30
362,130,-12,7,0,200,10,80,20,800,400,20,12,30
350,137,-12,7,0,200,10,80,20,800,400,20,12,30
338,144,-12,7,0,200,10,80,20,800,400,20,12,30
326,151,-12,7,0,200,10,80,20,800,400,20,12,30
314,158,-12,7,0,200,10,80,20,800,400,20,12,30
302,165,-12,7,0,200,10,80,20,800,400,20,12,30
290,172,-12,7,0,200,10,80,20,800,400,20,12,30
278,179,-12,7,0,200,10,80,20,800,400,20,12,30
266,186,-12,7,0,200,10,80,20,800,400,20,12,30
254,193,-12,7,0,200,10,80,20,800,400,20,12,30
242,200,-12,7,0,200,10,80,20,800,400,20,12,30
230,207,-12,7,0,200,10,80,20,800,400,20,12,30
218,214,-12,7,0,200,10,80,20,800,400,20,12,30
206,221,-12,7,0,200,10,80,20,800,400,20,12,30
194,228,-12,7,0,200,10,80,20,800,400,20,12,30
182,235,-12,7,0,200,10,80,20,800,400,20,12,30
170,242,-12,7,0,200,10,80,20,800,400,20,12,30
158,249,-12,7,0,200,10,80,20,800,400,20,12,30
146,256,-12,7,0,200,10,80,20,800,400,20,12,30
134,263,-12,7,0,200,10,80,20,800,400,20,12,30
122,270,-12,7,0,200,10,80,20,800,400,20,12,30
110,277,-12,7,0,200,10,80,20,800,400,20,12,30
98,284,-12,7,0,200,10,80,20,800,400,20,12,30
86,291,-12,7,0,200,10,80,20,800,400,20,12,30
74,298,-12,7,0,200,10,80,20,800,400,20,12,30
62,305,-12,7,0,200,10,80,20,800,400,20,12,30
50,312,-12,7,0,200,10,80,20,800,400,20,12,30
38,319,-12,7,0,200,10,80,20,800,400,20,12,30
50,326,12,7,0,200,10,80,20,800,400,20,12,30
62,333,12,7,0,200,10,80,20,800,400,20,12,30
74,340,12,7,0,200,10,80,20,800,400,20,12,30
86,347,12,7,0,200,10,80,20,800,400,20,12,30
98,354,12,7,0,200,10,80,20,800,400,20,12,30
110,361,12,7,0,200,10,80,20,800,400,20,12,30
122,368,12,7,0,200,10,80,20,800,400,20,12,30
134,361,12,-7,0,200,10,80,20,800,400,20,12,30
146,354,12,-7,0,200,10,80,20,800,400,20,12,30
158,347,12,-7,0,200,10,80,20,800,400,20,12,30
170,340,12,-7,0,200,10,80,20,800,400,20,12,30
182,333,12,-7,0,200,10,80,20,800,400,20,12,30
194,326,12,-7,0,200,10,80,20,800,400,20,12,30
206,319,12,-7,0,200,10,80,20,800,400,20,12,30
218,312,12,-7,1,200,10,80,20,800,400,20,12,30
230,305,12,-7,0,220,10,80,20,800,400,20,12,30
242,298,12,-7,0,220,10,80,20,800,400,20,12,30
254,291,12,-7,0,220,10,80,20,800,400,20,12,30
266,284,12,-7,0,220,10,80,20,800,400,20,12,30
278,277,12,-7,0,220,10,80,20,800,400,20,12,30
290,270,12,-7,0,220,10,80,20,800,400,20,12,30
302,263,12,-7,0,220,10,80,20,800,400,20,12,30
314,256,12,-7,-1,220,10,80,20,800,400,20,12,30
326,249,12,-7,0,200,10,80,20,800,400,20,12,30
338,242,12,-7,0,200,10,80,20,800,400,20,12,30
350,235,12,-7,0,200,10,80,20,800,400,20,12,30
362,228,12,-7,-1,200,10,80,20,800,400,20,12,30
374,221,12,-7,0,180,10,80,20,800,400,20,12,30
386,214,12,-7,0,180,10,80,20,800,400,20,12,30
398,207,12,-7,0,180,10,80,20,800,400,20,12,30
410,200,12,-7,0,180,10,80,20,800,400,20,12,30
422,193,12,-7,-1,180,10,80,20,800,400,20,12,30
434,186,12,-7,0,160,10,80,20,800,400,20,12,30
446,179,12,-7,0,160,10,80,20,800,400,20,12,30
458,172,12,-7,0,160,10,80,20,800,400,20,12,30
470,165,12,-7,-1,160,10,80,20,800,400,20,12,30
482,158,12,-7,0,140,10,80,20,800,400,20,12,30
494,151,12,-7,0,140,10,80,20,800,400,20,12,30
506,144,12,-7,0,140,10,80,20,800,400,20,12,30
518,137,12,-7,0,140,10,80,20,800,400,20,12,30
530,130,12,-7,0,140,10,80,20,800,400,20,12,30
542,123,12,-7,-1,140,10,80,20,800,400,20,12,30
554,116,12,-7,0,120,10,80,20,800,400,20,12,30
566,109,12,-7,0,120,10,80,20,800,400,20,12,30
578,102,12,-7,0,120,10,80,20,800,400,20,12,30
590,95,12,-7,0,120,10,80,20,800,400,20,12,30
602,88,12,-7,0,120,10,80,20,800,400,20,12,30
614,81,12,-7,0,120,10,80,20,800,400,20,12,30
626,74,12,-7,-1,120,10,80,20,800,400,20,12,30
638,67,12,-7,0,100,10,80,20,800,400,20,12,30
650,60,12,-7,0,100,10,80,20,800,400,20,12,30
662,53,12,-7,0,100,10,80,20,800,400,20,12,30
674,46,12,-7,0,100,10,80,20,800,400,20,12,30
686,39,12,-7,-1,100,10,80,20,800,400,20,12,30
698,32,12,-7,0,80,10,80,20,800,400,20,12,30
710,39,12,7,0,80,10,80,20,800,400,20,12,30
722,46,12,7,0,80,10,80,20,800,400,20,12,30
734,53,12,7,-1,80,10,80,20,800,400,20,12,30
746,60,12,7,0,60,10,80,20,800,400,20,12,30
758,67,12,7,0,60,10,80,20,800,400,20,12,30
770,74,12,7,0,60,10,80,20,800,400,20,12,30
758,81,-12,7,0,60,10,80,20,800,400,20,12,30
746,88,-12,7,0,60,10,80,20,800,400,20,12,30
734,95,-12,7,0,60,10,80,20,800,400,20,12,30
722,102,-12,7,0,60,10,80,20,800,400,20,12,30
710,109,-12,7,0,60,10,80,20,800,400,20,12,30
698,116,-12,7,0,60,10,80,20,800,400,20,12,30
686,123,-12,7,0,60,10,80,20,800,400,20,12,30
674,130,-12,7,0,60,10,80,20,800,400,20,12,30
662,137,-12,7,0,60,10,80,20,800,400,20,12,30
650,144,-12,7,1,60,10,80,20,800,400,20,12,30
638,151,-12,7,0,80,10,80,20,800,400,20,12,30
626,158,-12,7,0,80,10,80,20,800,400,20,12,30
614,165,-12,7,0,80,10,80,20,800,400,20,12,30
602,172,-12,7,0,80,10,80,20,800,400,20,12,30
590,179,-12,7,1,80,10,80,20,800,400,20,12,30
578,186,-12,7,0,100,10,80,20,800,400,20,12,30
566,193,-12,7,0,100,10,80,20,800,400,20,12,30
554,200,-12,7,0,100,10,80,20,800,400,20,12,30
542,207,-12,7,1,100,10,80,20,800,400,20,12,30
530,214,-12,7,0,120,10,80,20,800,400,20,12,30
518,221,-12,7,0,120,10,80,20,800,400,20,12,30
506,228,-12,7,0,120,10,80,20,800,400,20,12,30
494,235,-12,7,0,120,10,80,20,800,400,20,12,30
482,242,-12,7,0,120,10,80,20,800,400,20,12,30
470,249,-12,7,1,120,10,80,20,800,400,20,12,30
458,256,-12,7,0,140,10,80,20,800,400,20,12,30
446,263,-12,7,0,140,10,80,20,800,400,20,12,30
434,270,-12,7,0,140,10,80,20,800,400,20,12,30
422,277,-12,7,0,140,10,80,20,800,400,20,12,30
410,284,-12,7,1,140,10,80,20,800,400,20,12,30
398,291,-12,7,0,160,10,80,20,800,400,20,12,30
386,298,-12,7,0,160,10,80,20,800,400,20,12,30
374,305,-12,7,0,160,10,80,20,800,400,20,12,30
362,312,-12,7,0,160,10,80,20,800,400,20,12,30
350,319,-12,7,0,160,10,80,20,800,400,20,12,30
338,326,-12,7,1,160,10,80,20,800,400,20,12,30
326,333,-12,7,0,180,10,80,20,800,400,20,12,30
314,340,-12,7,0,180,10,80,20,800,400,20,12,30
302,347,-12,7,0,180,10,80,20,800,400,20,12,30
290,354,-12,7,0,180,10,80,20,800,400,20,12,30
278,361,-12,7,0,180,10,80,20,800,400,20,12,30
266,368,-12,7,0,180,10,80,20,800,400,20,12,30
254,361,-12,-7,0,180,10,80,20,800,400,20,12,30
242,354,-12,-7,0,180,10,80,20,800,400,20,12,30
230,347,-12,-7,0,180,10,80,20,800,400,20,12,30
218,340,-12,-7,0,180,10,80,20,800,400,20,12,30
206,333,-12,-7,0,180,10,80,20,800,400,20,12,30
194,326,-12,-7,0,180,10,80,20,800,400,20,12,30
182,319,-12,-7,0,180,10,80,20,800,400,20,12,30
170,312,-12,-7,0,180,10,80,20,800,400,20,12,30
158,305,-12,-7,0,180,10,80,20,800,400,20,12,30
146,298,-12,-7,0,180,10,80,20,800,400,20,12,30
134,291,-12,-7,0,180,10,80,20,800,400,20,12,30
122,284,-12,-7,0,180,10,80,20,800,400,20,12,30
110,277,-12,-7,0,180,10,80,20,800,400,20,12,30
98,270,-12,-7,0,180,10,80,20,800,400,20,12,30
86,263,-12,-7,0,180,10,80,20,800,400,20,12,30
74,256,-12,-7,0,180,10,80,20,800,400,20,12,30
62,249,-12,-7,0,180,10,80,20,800,400,20,12,30
50,242,-12,-7,0,180,10,80,20,800,400,20,12,30
38,235,-12,-7,0,180,10,80,20,800,400,20,12,30
50,228,12,-7,0,180,10,80,20,800,400,20,12,30
62,221,12,-7,0,180,10,80,20,800,400,20,12,30
74,214,12,-7,0,180,10,80,20,800,400,20,12,30
86,207,12,-7,0,180,10,80,20,800,400,20,12,30
98,200,12,-7,0,180,10,80,20,800,400,20,12,30
110,193,12,-7,0,180,10,80,20,800,400,20,12,30
122,186,12,-7,0,180,10,80,20,800,400,20,12,30
134,179,12,-7,0,180,10,80,20,800,400,20,12,30
146,172,12,-7,0,180,10,80,20,800,400,20,12,30
158,165,12,-7,0,180,10,80,20,800,400,20,12,30
170,158,12,-7,0,180,10,80,20,800,400,20,12,30
182,151,12,-7,0,180,10,80,20,800,400,20,12,30
194,144,12,-7,0,180,10,80,20,800,400,20,12,30
206,137,12,-7,0,180,10,80,20,800,400,20,12,30
218,130,12,-7,0,180,10,80,20,800,400,20,12,30
230,123,12,-7,0,180,10,80,20,800,400,20,12,30
242,116,12,-7,0,180,10,80,20,800,400,20,12,30
254,109,12,-7,0,180,10,80,20,800,400,20,12,30
266,102,12,-7,0,180,10,80,20,800,400,20,12,30
278,95,12,-7,-1,180,10,80,20,800,400,20,12,30
290,88,12,-7,0,160,10,80,20,800,400,20,12,30
302,81,12,-7,0,160,10,80,20,800,400,20,12,30
314,74,12,-7,0,160,10,80,20,800,400,20,12,30
326,67,12,-7,-1,160,10,80,20,800,400,20,12,30
338,60,12,-7,0,140,10,80,20,800,400,20,12,30
350,53,12,-7,0,140,10,80,20,800,400,20,12,30
362,46,12,-7,0,140,10,80,20,800,400,20,12,30
374,39,12,-7,0,140,10,80,20,800,400,20,12,30
386,32,12,-7,0,140,10,80,20,800,400,20,12,30
398,39,12,7,0,140,10,80,20,800,400,20,12,30
410,46,12,7,0,140,10,80,20,800,400,20,12,30
422,53,12,7,0,140,10,80,20,800,400,20,12,30
434,60,12,7,0,140,10,80,20,800,400,20,12,30
446,67,12,7,0,140,10,80,20,800,400,20,12,30
458,74,12,7,0,140,10,80,20,800,400,20,12,30
470,81,12,7,0,140,10,80,20,800,400,20,12,30
482,88,12,7,0,140,10,80,20,800,400,20,12,30
494,95,12,7,0,140,10,80,20,800,400,20,12,30
506,102,12,7,1,140,10,80,20,800,400,20,12,30
518,109,12,7,0,160,10,80,20,800,400,20,12,30
530,116,12,7,0,160,10,80,20,800,400,20,12,30
542,123,12,7,0,160,10,80,20,800,400,20,12,30
554,130,12,7,0,160,10,80,20,800,400,20,12,30
566,137,12,7,1,160,10,80,20,800,400,20,12,30
578,144,12,7,0,180,10,80,20,800,400,20,12,30
590,151,12,7,0,180,10,80,20,800,400,20,12,30
